Year,Title,Character(s),Actor,Notes,Country,Identity
2018,Wild Nights with Emily,Emily Dickinson,Molly Shannon,"Film story based on the lifelong romantic relationship between Emily and another woman, Susan, to whom she wrote poems and love letters that after Emily's death were falsely attributed as works she had directed to a man.",United States,Lesbian
2019,Anna,Maude,Lera Abova,"Maude is a fashion model in love with Anna, who unbeknownst to Maude is a double agent assassin.","France, United States",Lesbian
2019,Before You Know It,Rachel Gurner,Hannah Pearl Utt,,United States,Lesbian
2019,Bombshell,Jess Carr,Kate McKinnon,Jess is a closeted lesbian and Hillary Clinton supporter.,"United States, Canada",Lesbian
2019,Booksmart,Amy Antsler,Kaitlyn Dever,"Amy has a crush on a girl named Ryan, and later has her first lesbian sexual encounter with Hope, who has a reputation for not being nice.",United States,Lesbian
1995,Carrington,Hope,Diana Silvers,,"France, United Kingdom",Lesbian
2019,Carmilla,Lara,Hannah Rae,,United Kingdom,Lesbian
1995,Home for the Holidays,Carmilla,Devrim Lingnau,,United States,Lesbian
2019,Despite Everything,Sofía,Amaia Salamanca,"Sofía and Marta are a couple, but Sofía has commitment issues.",Spain,Lesbian
1995,Jefferson in Paris,Marta,Ariana Martinez,,"France, United States",Lesbian
2019,Ek Ladki Ko Dekha Toh Aisa Laga,Sweety Chaudhary,Sonam Kapoor Ahuja,Sweety is a closeted lesbian who comes out to her traditional Punjabi father and family. Kuhu is Sweety's love interest. They are in a relationship that is kept secret.,India,Lesbian
1995,Jeffrey,Kuhu,Regina Cassandra,,United States,Lesbian
2019,Elisa & Marcela,Elisa,Natalia de Molina,"True story of two Spanish women who posed as a heterosexual couple in 1901 so that they could marry, with Marcela assuming the identity of ""Mario Sánchez"".",Spain,Lesbian
1995,Jeffrey,Marcela,Greta Fernández,,United States,Lesbian
2019,Last Christmas,Marta Andrich,Lydia Leonard,Marta is outed to her parents by her sister Kate. She has been in a stable relationship with Alba.,"United Kingdom, United States",Lesbian
1995,Party Girl,Alba,Jade Anouka,,United States,Lesbian
2019,Let It Snow,Dorrie,Liv Hewson,Dorrie and Kerry begin a romantic relationship.,United States,Lesbian
1995,Stonewall,Kerry,Anna Akana,,"United Kingdom, United States",Lesbian
2019,Moonlit Winter,Yoon-hee,Kim Hee-ae,"Before Yoon-hee entered into an unhappy marriage with a friend of her brother, she was in love with Jun, resulting in her parents sending her to a mental hospital. Jun, however, never married and continued to feel the same about Yoon-hee. Twenty years later, a letter Jun wrote to Yoon-hee is mailed by Jun's aunt. When Yoon-hee's daughter accidentally reads the letter, she becomes determined to reunite her mother with the person from her past who made her happy.",South Korea,Lesbian
1995,Stonewall,Jun,Yûko Nakamura,,"United Kingdom, United States",Lesbian
2019,Portrait of a Lady on Fire,Héloïse,Noémie Merlant,"Set in the 18th century, Héloïse is a painter commissioned to unobtrusively do the portrait of Marianne, who has been reluctant to pose for one because the painting was meant to be presented to her prospective husband, but Marianne did not want to marry. Héloïse and Marianne fall in love.",France,Lesbian
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Marianne,Adèle Haenel,,United States,Lesbian
2019,Riot Girls,Nat,Madison Iseman,Nat and Scratch are a couple.,Canada,Lesbian
1995,Total Eclipse,Scratch,Paloma Kwiatkowski,,"United Kingdom, France, Belgium, Italy, United States",Lesbian
2019,Saint Maud,Amanda Köhl,Jennifer Ehle,"A hedonist and atheist, Amanda was a celebrated dancer and choreographer before she was felled by a terminal illness and became disabled.
Carol is Amanda's lover.",United Kingdom,Lesbian
1996,Beautiful Thing,Carol,Lily Frazer,,United Kingdom,Lesbian
2019,Sword of Trust,Cynthia,Jillian Bell,Cynthia and Mary are a couple.,United States,Lesbian
1996,The Birdcage,Mary,Michaela Watkins,,United States,Lesbian
2019,To the Stars,Maggie Richmond,Liana Liberato,Maggie and closeted Hazel are drawn to each other and have sex.,United States,Lesbian
1996,The Birdcage,Hazel Atkins,Adelaide Clemens,,United States,Lesbian
2019,Two of Us,Nina Dorn,Barbara Sukowa,"While living in the same apartment building, Nina and Madeleine have been secret lovers for many years. All the while, Madeleine remained in a loveless marriage. After the death of her husband the two women decide to come out to Madeleine's adult children so that they can finally live together, but Madeleine loses her nerve, which leads to an angry argument with Nina, followed by a stroke. Madeleine's children cannot understand why Nina is always hanging around Madeleine while she is convalescing because they considered her to be just a neighbor.
(The film was the Best International Feature Film submission by France at the 93rd Academy Awards.)","France, Belgium, Luxembourg",Lesbian
1996,Flirting with Disaster,Madeleine Girard,Martine Chevallier,,United States,Lesbian
2020,Ammonite,Mary Anning,Kate Winslet,"Mary is a fossil collector and paleontologist. She is hired by a geologist to care for his wife, Charlotte, and keep her company while he's away on an expedition. Mary falls in love with her.","United Kingdom, Australia",Lesbian
2020,Bruised,Bobbi 'Buddhakan' Berroa,Sheila Atim,"Bobbi is a trainer. She begins an intimate relationship with Jackie, an MMA fighter.","United States, United Kingdom",Lesbian
2020,Forgotten Roads,Claudina,Rosa Ramírez,"Septuagenarian Claudina has lived a traditional and repressed life. After the death of her husband, her life and world begins to change with self-discovery. She comes out to herself when she meets her neighbor Elsa (bisexual) and falls in love with her.",Chile,Lesbian
2020,Friend of the World,Diane,Alexandra Slade,"Diane is an experimental filmmaker whose sexual orientation isn't the only difference between her and Gore, an insane war general.
Eva is Diane's lover.",United States,Lesbian
1996,Hollow Reed,Eva,Kathryn Schott,,"Germany, United Kingdom, Spain",Lesbian
2020,Friendsgiving,Abby,Kat Dennings,"Abby came out at 29 years old and was dumped by her first girlfriend. The quiet Thanksgiving she planned with her best friend Molly turns into a large party after several friends and acquaintances, including lesbian friends who want to find a new girlfriend for Abby, start to show up for the holiday dinner.",United States,Lesbian
2020,The Half of It,Ellie Chu,Leah Lewis,"A shy, introverted, straight-A student who earns money on the side by writing papers for fellow students, accepts being the ghostwriter of heartfelt correspondence from a football player pupil to the girl he wants to date. In the process, Ellie falls in love with her.
The film is a spin on the play Cyrano de Bergerac.",United States,Lesbian
2020,Happiest Season,Abby,Kristen Stewart,"Abby and Harper are in a romantic relationship.
Riley is Harper's ex-girlfriend.",United States,Lesbian
1996,Indian Summer,Harper,Mackenzie Davis,,United Kingdom,Lesbian
1996,It's My Party,Riley Johnson,Aubrey Plaza,,United States,Lesbian
2020,Holly Slept Over,Holly,Nathalie Emmanuel,,United States,Lesbian
2020,I Care a Lot,Marla Grayson,Rosamund Pike,Marla and Fran are romantic and business partners.,United States,Lesbian
1996,Mulholland Falls,Fran,Eiza González,,United States,Lesbian
2020,Kajillionaire,Old Dolio Dyne,Evan Rachel Wood,"Dyne is an emotionally stunted 26-year-old woman in a manipulative relationship with her con artist parents. She later begins a relationship with Melanie, a friendly young woman.",United States,Lesbian
1996,Stealing Beauty,Melanie Whitacre,Gina Rodriguez,,United Kingdom,Lesbian
2020,My First Summer,Grace,Maiah Stewardson,,Australia,Lesbian
2020,The New Mutants,Danielle Moonstar / Mirage,Blu Hunt,Mirage is a Native American mutant who can create illusions based on the fears and desires of other people. She is in love with Wolfsbane.,United States,Lesbian
1997,All Over Me,Rahne Sinclair / Wolfsbane,Maisie Williams,,United States,Lesbian
2020,The Prom,Emma Nolan,Jo Ellen Pellman,"Emma, a 17-year-old girl, wants to bring her girlfriend Alyssa to the high school prom.
Alyssa is a cheerleader and closeted.",United States,Lesbian
1997,As Good as It Gets,Alyssa Greene,Ariana DeBose,,United States,Lesbian
2020,Summer of Mesa,Mesa,Andrea Granera,Mesa is a confident and beautiful teenage girl.,United States,Lesbian
2020,Summerland,Alice Lamb,Gemma Arterton,"Alice is a reclusive historian of folklore. When she reluctantly takes in an Operation Pied Piper evacuee from the London Blitz, she confronts her past and the love she lost.",United Kingdom,Lesbian
2020,Unpregnant,Bailey Butler,Barbie Ferreira,Bailey has her first kiss with Kira after revealing her sexuality.,United States,Lesbian
1997,Black Rose II,Kira Matthews,Betty Who,,Hong Kong,Lesbian
2020,Valley Girl,Jack,Mae Whitman,"Jack is Randy's best friend, band mate, and wingman.",United States,Lesbian
2020,The World to Come,Abigail,Katherine Waterston,"Set in the 19th century, Abigail is in a marriage of convenience to a farmer. She meets Tallie, who moves into a farm nearby and is married to an abusive husband. A deep friendship develops between them, becoming a secret romantic relationship.",United States,Lesbian
1997,The Fifth Element,Tallie,Vanessa Kirby,,United States,Lesbian
2021,After Blue,Zora,Elina Löwensohn,Zora is the hairdresser of planet After Blue. She falls for avant-garde artist Sternberg.,France,Lesbian
2021,Benedetta,Benedetta Carlini,Virginie Efira,"Benedetta, a novitiate in a 17th-century Italian convent, begins a love affair with another nun.",France,Lesbian
2021,Christmas at the Ranch,Haley Hollis,Laur Allen,"Power broker Holly returns to her family ranch, Hollis Hills, to help her grandmother save it from bankruptcy and prevent being forced to sell it.
Kate is the experienced ranch hand who cares about what happens to the ranch.",United States,Lesbian
1997,The Hanging Garden,Kate,Amanda Righetti,,"United Kingdom, Canada",Lesbian
2021,The Fallout,Mia Reed,Maddie Ziegler,"Mia is an Instagram influencer. During a night of drinking, she has sex with Vada, who has a boyfriend.",United States,Lesbian
2021,Fear Street Part One: 1994,Deena Johnson,Kiana Madeira,"Denna and Samantha are a young couple.
(This film is the first installment in the Fear Street trilogy.)",United States,Lesbian
1997,In & Out,"Samantha ""Sam"" Fraser",Olivia Scott Welch,,United States,Lesbian
2021,Fear Street Part Three: 1666,Deena Johnson,Kiana Madeira,"When the witch's grave is discovered and Deena comes in contact with her severed skeletal hand, she is transported back in time and into Sarah Fier's body.
Sarah was falsely accused of being a witch and hung. She is blamed for cursing Shadyside and causing centuries of unexplained violence and murders in the town. In truth, she was the victim of homophobia, sexism, and superstition.
Hannah is Sarah's lover.
(This film is the third installment in the Fear Street trilogy.)",United States,Lesbian
1997,The Jackal,Sarah Fier,Elizabeth Scopel,,United States,Lesbian
1997,"Kiss Me, Guido",Warren,Kiana Madeira,,United States,Lesbian
1997,Love! Valour! Compassion!,Hannah Miller,Olivia Scott Welch,,United States,Lesbian
1997,Love! Valour! Compassion!,"Samantha ""Sam"" Fraser",John Glover,,United States,Lesbian
2021,Matcha & Vanilla,Yuki,Tomoko Hayakawa,"Yuki and Ai are a couple. When Yuki is diagnosed with lung cancer, they must fight their families and Japan's conservative society to stay together until Yuki's inevitable death.",Japan,Lesbian
1997,Love! Valour! Compassion!,Ai,Qyoko Kudo,,United States,Lesbian
2021,The Novice,Alex Dall,Isabelle Fuhrman,"Alex is a perfectionist who joins her college rowing team. She starts a romance with Dani, her teacher's assistant.",United States,Lesbian
1997,Love! Valour! Compassion!,Dani,Dilone,,United States,Lesbian
2021,Nudo Mixteco,María,Sonia Couoh,,Mexico,Lesbian
2021,One Four Three,Rebecca,Ellouise Shakespeare-Hart,Rebecca is the woman that Genevieve left her fiancé for.,United Kingdom,Lesbian
2021,The Retreat,Renee,Tommie-Amber Pirie,,Canada,Lesbian
1997,Nowhere,Valerie,Sarah Allen,,United States,Lesbian
2021,Ride or Die,Rei Nagasawa,Kiko Mizuhara,Rei was in love with Nanae when they were in high school. She decides to kill Nanae's abusive husband to prove her love for her.,Japan,Lesbian
2021,Sentinelle,Klara,Olga Kurylenko,"The first hint that Klara is lesbian is her observing the nude body of a female soldier in their locker room. Later, she dances with a woman in a nightclub and has a one-night stand with her.",France,Lesbian
2021,Silent Night,Alex,Kirby Howell-Baptiste,Alex and Bella are married.,"United Kingdom, United States",Lesbian
1997,Til There Was You,Bella,Lucy Punch,,United States,Lesbian
2021,Stillwater,Allison Baker,Abigail Breslin,"Allion is convicted of murdering her roommate and unfaithful lover, Lina.",United States,Lesbian
2021,Twist,Sikes,Lena Headey,"Sikes is a burglar and criminal. She is attracted to Nancy ""Red"" Lee.
(The film is an adaptation of Charles Dickens's 1838 novel Oliver Twist.)",United Kingdom,Lesbian
2021,Walk with Me,Logan Pierce,Bridget Barkan,,United States,Lesbian
2021,Wheel of Fortune and Fantasy,Moka Natsuko,Fusako Urabe,,Japan,Lesbian
2022,Aftersun,Sophie,Celia Rowlson-Hall,The partner of adult Sophie is a woman and she is the parent of an infant with her.,"United Kingdom, United States",Lesbian
2022,Am I Ok?,Lucy,Dakota Johnson,"A woman living in Los Angeles, who realizes that all her dates with men are unsuccessful because she's a lesbian. With the help of her lifelong best friend Jane, Lucy attempts to navigate coming out and dating women in her 30s.",United States,Lesbian
2022,Attachment,Maja,Josephine Park,"Maja is a fading actress and Leah is a university student. Leah shares her home with her mother. After Leah has a seizure, Maja moves in with her. Maja learns that Leah may be possessed by a dybbuk.",Denmark,Lesbian
1998,Billy's Hollywood Screen Kiss,Leah,Ellie Kendrick,,United States,Lesbian
2022,Babylon,Lady Fay Zhu,Li Jun Li,Cabaret entertainer Zhu has an affair with Nellie.,United States,Lesbian
2022,Badhaai Do,Suman Singh,Bhumi Pednekar,"Suman enters into a lavender marriage to escape the pressure from her family.
Rimjhim is Suman's girlfriend.",India,Lesbian
1998,Edge of Seventeen,Rimjhim Jongkey,Chum Darang,,United States,Lesbian
2022,Bodies Bodies Bodies,Bee,Maria Bakalova,Bee is a working-class young woman from Eastern Europe traveling with her wealthy girlfriend Sophie.,United States,Lesbian
1998,Bishonen,Sophie,Amandla Stenberg,,Hong Kong,Lesbian
2022,Blue Jean,Jean,Rosy McEwen,"Set during the introduction of Section 28 anti-homosexuality laws in the 1980s, Jean is a closeted physical education teacher living a double life. When a new student at her school sees her in a lesbian bar, she must decide whether to risk or save her career and personal safety.
Viv is Jean's out and proud long-term girlfriend.",United Kingdom,Lesbian
